0.026108,24.581,0.0212,10.534
0.013815,20.186,0.026494,21.991
0.015248,10.597,0.022212,20.106
0.018457,10.879,0.013359,12.339
0.028415,11.539,0.029329,17.946
0.0058004,7.0237,0.029424,17.045
0.0037749,11.845,0.017281,5.1279
0.02704,10.627,0.016198,7.0914
0.0090987,5.8385,0.012993,22.074
0.027498,6.1389,0.02609,11.122
0.025238,7.3659,0.02696,12.425
0.027825,20.699,0.021438,10.625
0.021796,21.797,0.011741,23.853
0.029069,11.022,0.0016653,10.231
0.019362,8.9227,0.0063096,24.274
0.02072,11.505,0.020168,11.38
0.017736,24.325,0.028427,16.631
0.023316,12.533,0.027964,17.585
0.012963,6.8267,0.0070772,23.104
0.0042467,7.119,0.0090667,16.192
0.010067,6.6572,0.01863,11.301
0.024341,10.146,0.021797,15.571
0.028713,14.106,0.0067107,6.7701
0.02431,13.33,0.01981,13.724
0.0069796,23.666,0.025913,9.4071
0.013213,18.304,0.024213,11.053
0.029881,9.6602,0.0034587,24.676
0.0014346,6.7668,0.021924,24.951
0.006334,6.0772,0.0083787,7.7348
0.011031,10.486,0.00574,10.405
0.017366,7.3533,0.01899,12.777
0.022518,12.221,0.0037955,15.714
0.029711,8.8918,0.025001,5.7306
0.0077084,21.387,0.0015455,7.5551
0.010153,16.85,0.0014098,24.763
0.00345,7.6168,0.022294,13.682
0.028636,24.403,0.0025648,22.738
0.021342,8.5324,0.0077551,23.427
0.027785,22.351,0.017565,14.689
0.025915,13.484,0.020546,9.7687
0.0064687,17.398,0.025532,22.803
0.01117,6.399,0.0011728,20.533
0.01546,7.7327,0.0077134,14.5
0.016164,18.77,0.013065,6.46
0.0049459,14.646,0.0045851,15.45
0.0093137,7.256,0.0022884,18.829
0.013653,23.309,0.005834,13.778
0.0081556,9.1459,0.023625,17.385
0.0045029,6.9501,0.0086932,11.552
0.017211,20.222,0.014005,20.822
0.012169,18.498,0.013257,20.217
0.0055007,21.022,0.014601,19.68
0.002522,15.326,0.0039781,16.358
0.0014049,11.885,0.016361,19.04
0.021159,11.975,0.013192,14.389
0.0074795,14.186,0.022747,9.8348
0.0087193,18.01,0.011934,8.0712
0.0060583,17.854,0.0042711,11.705
0.012231,12.755,0.0042067,14.306
0.0028596,22.617,0.0059669,14.408
0.0020371,15.678,0.0055419,10.013
0.0014859,15.822,0.023857,21.666
0.012913,12.348,0.026328,12.838
0.0042513,18.181,0.017909,5.8768
0.023453,20.924,0.01007,14.91
0.016363,19.254,0.022652,9.9197
0.021578,15.921,0.017304,21.29
0.0012383,7.5949,0.022523,18.976
0.0080593,16.897,0.013909,24.077
0.0076159,11.58,0.018857,12.048
0.024545,17.446,0.01265,15.335
0.0099262,5.6494,0.016922,23.485
0.0075045,15.988,0.029183,13.077
0.017312,5.0908,0.023538,5.3046
0.014118,23.081,0.028771,5.9655
0.018762,24.498,0.010636,9.6475
0.029538,24.158,0.024155,16.02
