0	0.04	0.006	-0.028
-0.002	0.025	0	-0.025
-0.004	0.024	-0.01	-0.044
-0.006	0.027	-0.015	-0.057
-0.008	0.029	-0.037	-0.103
-0.01	0.03	-0.049	-0.128
-0.012	0.041	-0.069	-0.179
-0.014	0.052	-0.078	-0.208
-0.016	0.057	-0.093	-0.243
-0.018	0.058	-0.106	-0.27
-0.02	0.061	-0.111	-0.283
-0.022	0.049	-0.122	-0.293
-0.024	0.037	-0.14	-0.317
-0.026	0.031	-0.158	-0.347
-0.028	0.015	-0.177	-0.369
-0.03	0.011	-0.197	-0.405
-0.032	-0.005	-0.218	-0.431
-0.034	-0.016	-0.235	-0.454
-0.036	-0.025	-0.248	-0.471
-0.038	-0.026	-0.263	-0.5
-0.04	-0.038	-0.282	-0.526
-0.042	-0.041	-0.302	-0.563
-0.044	-0.054	-0.324	-0.594
-0.046	-0.064	-0.348	-0.632
-0.048	-0.057	-0.358	-0.659
-0.05	-0.061	-0.371	-0.681
-0.052	-0.068	-0.39	-0.712
-0.054	-0.084	-0.408	-0.732
-0.056	-0.099	-0.431	-0.763
-0.058	-0.121	-0.459	-0.797
-0.06	-0.136	-0.478	-0.82
-0.062	-0.149	-0.495	-0.841
-0.064	-0.161	-0.508	-0.855
-0.066	-0.17	-0.522	-0.874
-0.068	-0.183	-0.533	-0.883
-0.07	-0.194	-0.545	-0.896
-0.072	-0.204	-0.546	-0.888
-0.074	-0.215	-0.548	-0.881
-0.076	-0.225	-0.552	-0.879
-0.078	-0.229	-0.55	-0.871
-0.08	-0.238	-0.555	-0.872
-0.082	-0.241	-0.561	-0.881
-0.084	-0.246	-0.571	-0.896
-0.086	-0.248	-0.585	-0.922
-0.088	-0.254	-0.594	-0.934
-0.09	-0.266	-0.6	-0.934
-0.092	-0.273	-0.605	-0.937
-0.094	-0.285	-0.609	-0.933
-0.096	-0.292	-0.618	-0.944
-0.098	-0.309	-0.635	-0.961
-0.1	-0.316	-0.65	-0.984
-0.102	-0.318	-0.664	-1.01
-0.104	-0.322	-0.682	-1.042
-0.106	-0.319	-0.692	-1.065
-0.108	-0.325	-0.706	-1.087
-0.11	-0.334	-0.719	-1.104
-0.112	-0.34	-0.73	-1.12
-0.114	-0.332	-0.732	-1.132
-0.116	-0.322	-0.737	-1.152
-0.118	-0.321	-0.744	-1.167
-0.12	-0.317	-0.751	-1.185
